scenario,seed,method,lambda_gain,final_rmse_all,final_rmse_inlier,final_fitness,final_rotation_error_deg,final_translation_error,final_alignment_error,iae_alignment,ise_alignment,mean_alignment_error,tv_translation_update,tv_rotation_update,mean_selected_correspondences,mean_predicted_weight
clean,0,unweighted_icp,0.01,0.09260965410388049,0.03503745901443727,0.27111111111111114,10.974074791011576,0.14303160855623817,0.34538201057023443,11.034794682671391,3.929220876991587,0.35596111879585135,0.0003882456203788999,0.0254786776387933,1800.0,0.5458690746898465
clean,0,unweighted_icp,0.03,0.08221345848148134,0.03537951424994856,0.30277777777777776,9.920424519568018,0.12467057009196535,0.30608827376912684,10.401512839572106,3.5001971459395476,0.3355326722442615,0.0012815126891795809,0.07902636245137283,1800.0,0.5599353427919336
clean,0,unweighted_icp,0.05,0.07336069118240766,0.035300018989555926,0.3472222222222222,8.960663707802443,0.10811894432657013,0.2710862725870022,9.815962000984136,3.1333101577452975,0.3166439355156173,0.002303445321923397,0.13628279189276588,1800.0,0.576742045300502
clean,0,unweighted_icp,0.1,0.055598562628953234,0.03528267248409692,0.5077777777777778,6.989241777871463,0.07256585128223678,0.19805683168990465,8.52232163632685,2.420463852228333,0.2749136011718339,0.005132809540799534,0.31191435345764007,1800.0,0.6192213702052001
clean,0,unweighted_icp,0.2,0.02887091082103272,0.027089391456493857,0.9572222222222222,3.3402078303809803,0.024275666069709437,0.08654865519455196,6.418539907418134,1.5367648862914047,0.20704967443284306,0.011861107154200714,0.7257880189732082,1800.0,0.7025565844885683
clean,0,unweighted_icp,0.4,0.005147508628096576,0.005147508628096576,1.0,0.011482335561122717,6.715084834401416e-05,0.005329482832051817,3.6204246171270213,0.8075859221132885,0.1167878908750652,0.028401536635221124,1.8165904286821852,1800.0,0.7994530128995323
clean,0,unweighted_icp,0.75,0.0051466805603379824,0.0051466805603379824,1.0,0.013543513662286129,2.2869668856115537e-05,0.005304985365816959,2.0487878911688098,0.4544092929501827,0.06608993197318741,0.05332882705040033,3.2324090556158196,1800.0,0.8475520706155912
clean,0,unweighted_icp,1.0,0.005146680560337983,0.005146680560337983,1.0,0.013543513664105318,2.2869668861086045e-05,0.005304985365840123,1.598665059249241,0.35327739964567945,0.05156984062094326,0.07110510273397794,4.557536959124894,1800.0,0.8613909990596206
clean,1,distance_weighted_icp,0.01,0.095002848941358,0.034939506614950815,0.275,11.264355637910878,0.14579569974606285,0.3534421050665296,11.174625413605128,4.028683716511853,0.3604717875356493,0.0002770992311745959,0.011883849613364073,1800.0,0.5511941882088595
clean,1,distance_weighted_icp,0.03,0.08735468056591646,0.03453529956198449,0.30277777777777776,10.706931589775808,0.1314224242450031,0.32584642070867764,10.744135134045553,3.7285331278775216,0.3465850043240501,0.0008609641964052307,0.040722582669324416,1800.0,0.5603957174771133
clean,1,distance_weighted_icp,0.05,0.08000999336448043,0.03418385281267171,0.32555555555555554,10.080796923453345,0.1173989833025189,0.2982169459015328,10.316695670576351,3.4465107381723796,0.332796634534721,0.0015216288754171376,0.07173689369509934,1800.0,0.5719105893129904
clean,1,distance_weighted_icp,0.1,0.06305985350311198,0.03425782885567521,0.43444444444444447,8.455588209154557,0.08400918842732437,0.23162492402198193,9.257963750792058,2.8160729503350344,0.29864399196103414,0.003227426905787501,0.1560691699050418,1800.0,0.6014972690272247
clean,1,distance_weighted_icp,0.2,0.03937469890368222,0.03177096663894067,0.83,5.3620398862815515,0.035329798263756026,0.12832489603025377,7.382202152377301,1.9198860032676661,0.23813555330249359,0.007643999208491405,0.3556347840720957,1800.0,0.6665337233299459
clean,1,distance_weighted_icp,0.4,0.005032914143048277,0.005032914143048277,1.0,0.05458646257510707,0.0005522139864812475,0.006130992755280595,4.498296924832372,1.048756277331859,0.14510635241394748,0.019943544430199515,1.241747727640984,1800.0,0.7722295917479125
